,Latitude,Longitude,Number of schools,Rating,Schools,Site Name
31,38.84,-77.05,20,4.4,Georgetown University McDonough School of Business,Crystal City and Potomac Yard
32,38.84,-77.05,20,4.3,Metta Montessori School,Crystal City and Potomac Yard
33,38.84,-77.05,20,3.8,Kramer Middle School,Crystal City and Potomac Yard
34,38.84,-77.05,20,,Langston High School,Crystal City and Potomac Yard
35,38.84,-77.05,20,4.3,Bishop Ireton High School,Crystal City and Potomac Yard
36,38.84,-77.05,20,4.0,Savoy Elementary School,Crystal City and Potomac Yard
37,38.84,-77.05,20,4.1,Corpus Christi School,Crystal City and Potomac Yard
38,38.84,-77.05,20,3.9,Watkins Elementary School,Crystal City and Potomac Yard
39,38.84,-77.05,20,4.2,Barnaby Manor Elementary School,Crystal City and Potomac Yard
40,38.86,-77.01,20,4.4,The Lab School of Washington,Nationals Park/ D.C United Stadium
41,38.86,-77.01,20,4.4,St. Albans School,Nationals Park/ D.C United Stadium
42,38.86,-77.01,20,4.3,Georgetown University School of Continuing Studies,Nationals Park/ D.C United Stadium
43,38.86,-77.01,20,4.4,Georgetown University School of Medicine,Nationals Park/ D.C United Stadium
44,38.86,-77.01,20,4.7,Elliott School of International Affairs,Nationals Park/ D.C United Stadium
45,38.86,-77.01,20,3.9,T.C. Williams High School,Nationals Park/ D.C United Stadium
46,38.86,-77.01,20,5.0,Bishop John T. Walker School for Boys,Nationals Park/ D.C United Stadium
47,38.86,-77.01,20,4.0,Suitland High School Annex,Nationals Park/ D.C United Stadium
48,38.86,-77.01,20,3.2,Cesar Chavez Public Charter Schools for Public Policy,Nationals Park/ D.C United Stadium
49,38.86,-77.01,20,3.4,Potomac High School,Nationals Park/ D.C United Stadium
50,38.86,-77.01,20,,"Middle School Building, Washington International School",Nationals Park/ D.C United Stadium
51,38.86,-77.01,20,4.8,Lee Montessori Public Charter School,Nationals Park/ D.C United Stadium
52,38.86,-77.01,20,,Healthy Schools Network,Nationals Park/ D.C United Stadium
53,38.86,-77.01,20,,Avalon Elementary School,Nationals Park/ D.C United Stadium
54,38.86,-77.01,20,4.7,The George Washington University School of Business,Nationals Park/ D.C United Stadium
55,38.86,-77.01,20,4.6,George Mason University Antonin Scalia Law School,Nationals Park/ D.C United Stadium
56,38.86,-77.01,20,2.5,Friendship Public Charter School - Collegiate Academy,Nationals Park/ D.C United Stadium
57,38.86,-77.01,20,4.4,Georgetown University McDonough School of Business,Nationals Park/ D.C United Stadium
58,38.86,-77.01,20,4.3,Metta Montessori School,Nationals Park/ D.C United Stadium
59,38.86,-77.01,20,3.8,Kramer Middle School,Nationals Park/ D.C United Stadium
60,38.89,-77,20,4.3,Georgetown University School of Continuing Studies,Union Station
61,38.89,-77,20,4.4,The Lab School of Washington,Union Station
62,38.89,-77,20,4.4,St. Albans School,Union Station
63,38.89,-77,20,4.8,American University School of Communication,Union Station
64,38.89,-77,20,4.7,Elliott School of International Affairs,Union Station
65,38.89,-77,20,5.0,Washington International School: Primary School,Union Station
66,38.89,-77,20,5.0,Bishop John T. Walker School for Boys,Union Station
67,38.89,-77,20,4.0,Suitland High School Annex,Union Station
68,38.89,-77,20,4.4,Elizabeth Seton High School,Union Station
69,38.89,-77,20,3.2,Cesar Chavez Public Charter Schools for Public Policy,Union Station
70,38.89,-77,20,4.4,Georgetown University School of Medicine,Union Station
71,38.89,-77,20,3.4,Potomac High School,Union Station
72,38.89,-77,20,,"Middle School Building, Washington International School",Union Station
73,38.89,-77,20,3.9,T.C. Williams High School,Union Station
74,38.89,-77,20,4.2,School of Nursing & Health Studies,Union Station
75,38.89,-77,20,,Healthy Schools Network,Union Station
76,38.89,-77,20,4.7,The George Washington University School of Business,Union Station
77,38.89,-77,20,4.9,Howard University School of Law,Union Station
78,38.89,-77,20,4.4,Georgetown University McDonough School of Business,Union Station
79,38.89,-77,20,5.0,Sharpe Health School,Union Station
80,38.88,-76.97,20,4.3,Georgetown University School of Continuing Studies,Hill-East Neighborhood
81,38.88,-76.97,20,4.7,Elliott School of International Affairs,Hill-East Neighborhood
82,38.88,-76.97,20,4.6,Milken Institute School of Public Health,Hill-East Neighborhood
83,38.88,-76.97,20,5.0,Bishop John T. Walker School for Boys,Hill-East Neighborhood
84,38.88,-76.97,20,4.0,Suitland High School Annex,Hill-East Neighborhood
85,38.88,-76.97,20,3.7,Thomas Claggett Elementary School,Hill-East Neighborhood
86,38.88,-76.97,20,4.0,Theodore Roosevelt High School,Hill-East Neighborhood
87,38.88,-76.97,20,4.4,Elizabeth Seton High School,Hill-East Neighborhood
88,38.88,-76.97,20,3.2,Cesar Chavez Public Charter Schools for Public Policy,Hill-East Neighborhood
89,38.88,-76.97,20,3.9,Brookland Middle School,Hill-East Neighborhood
90,38.88,-76.97,20,3.4,Potomac High School,Hill-East Neighborhood
91,38.88,-76.97,20,,Benjamin T. Rome School of Music,Hill-East Neighborhood
92,38.88,-76.97,20,,"Middle School Building, Washington International School",Hill-East Neighborhood
93,38.88,-76.97,20,4.8,Lee Montessori Public Charter School,Hill-East Neighborhood
94,38.88,-76.97,20,4.5,Bishop McNamara High School,Hill-East Neighborhood
95,38.88,-76.97,20,,Healthy Schools Network,Hill-East Neighborhood
96,38.88,-76.97,20,,Avalon Elementary School,Hill-East Neighborhood
97,38.88,-76.97,20,4.7,The George Washington University School of Business,Hill-East Neighborhood
98,38.88,-76.97,20,4.0,Columbus School of Law The Catholic University of America,Hill-East Neighborhood
99,38.88,-76.97,20,2.5,Friendship Public Charter School - Collegiate Academy,Hill-East Neighborhood
100,38.91,-77.02,20,4.4,The Lab School of Washington,Shaw-Howard University Area
101,38.91,-77.02,20,4.3,Georgetown University School of Continuing Studies,Shaw-Howard University Area
102,38.91,-77.02,20,4.4,St. Albans School,Shaw-Howard University Area
103,38.91,-77.02,20,4.8,American University School of Communication,Shaw-Howard University Area
104,38.91,-77.02,20,4.7,Elliott School of International Affairs,Shaw-Howard University Area
105,38.91,-77.02,20,5.0,Bishop John T. Walker School for Boys,Shaw-Howard University Area
106,38.91,-77.02,20,3.9,National Cathedral School,Shaw-Howard University Area
107,38.91,-77.02,20,4.4,St John's College High School,Shaw-Howard University Area
108,38.91,-77.02,20,3.2,Cesar Chavez Public Charter Schools for Public Policy,Shaw-Howard University Area
109,38.91,-77.02,20,4.4,Georgetown University School of Medicine,Shaw-Howard University Area
110,38.91,-77.02,20,,"Middle School Building, Washington International School",Shaw-Howard University Area
111,38.91,-77.02,20,,Healthy Schools Network,Shaw-Howard University Area
112,38.91,-77.02,20,4.7,The George Washington University School of Business,Shaw-Howard University Area
113,38.91,-77.02,20,4.9,Howard University School of Law,Shaw-Howard University Area
114,38.91,-77.02,20,4.6,George Mason University Antonin Scalia Law School,Shaw-Howard University Area
115,38.91,-77.02,20,4.0,Columbus School of Law The Catholic University of America,Shaw-Howard University Area
116,38.91,-77.02,20,2.5,Friendship Public Charter School - Collegiate Academy,Shaw-Howard University Area
117,38.91,-77.02,20,4.4,Georgetown University McDonough School of Business,Shaw-Howard University Area
118,38.91,-77.02,20,4.6,St. Patrick's Episcopal Day School,Shaw-Howard University Area
119,38.91,-77.02,20,3.8,Kramer Middle School,Shaw-Howard University Area
120,34.1802,-118.6028,20,4.4,Chaminade College Preparatory High School,Warner Center West San Fernando Valley
121,34.1802,-118.6028,20,3.7,El Camino Real Charter High School,Warner Center West San Fernando Valley
122,34.1802,-118.6028,20,3.4,Calabasas High School,Warner Center West San Fernando Valley
123,34.1802,-118.6028,20,3.9,Taft Charter High School,Warner Center West San Fernando Valley
124,34.1802,-118.6028,20,4.4,Crespi Carmelite High School,Warner Center West San Fernando Valley
125,34.1802,-118.6028,20,3.1,Ivy Academia Entrepreneurial Charter School - High School Campus,Warner Center West San Fernando Valley
126,34.1802,-118.6028,20,4.4,Northpoint School,Warner Center West San Fernando Valley
127,34.1802,-118.6028,20,4.7,St. Bernardine of Siena School,Warner Center West San Fernando Valley
128,34.1802,-118.6028,20,4.1,de Toledo High School,Warner Center West San Fernando Valley
129,34.1802,-118.6028,20,,Woodcrest Private Elementary & Middle School,Warner Center West San Fernando Valley
130,34.1802,-118.6028,20,,Highland Hall Waldorf School,Warner Center West San Fernando Valley
131,34.1802,-118.6028,20,5.0,Maria's Montessori School,Warner Center West San Fernando Valley
132,34.1802,-118.6028,20,,Devonshire Continuation School,Warner Center West San Fernando Valley
133,34.1802,-118.6028,20,3.8,St Martin In the Fields School,Warner Center West San Fernando Valley
134,34.1802,-118.6028,20,5.0,SoundCheck Music School,Warner Center West San Fernando Valley
135,34.1802,-118.6028,20,5.0,Our Lady of the Valley School,Warner Center West San Fernando Valley
136,34.1802,-118.6028,20,4.6,Our Lady of Grace School,Warner Center West San Fernando Valley
137,34.1802,-118.6028,20,4.7,Pomelo Community Charter,Warner Center West San Fernando Valley
138,34.1802,-118.6028,20,4.8,Greene Gables Pre-School and Elementary School,Warner Center West San Fernando Valley
139,34.1802,-118.6028,20,4.3,Hill Point Montessori Preparatory School,Warner Center West San Fernando Valley
140,34.4318,-118.5584,20,3.5,Saugus High School,New Hall Ranch Santa Clarita Valley
141,34.4318,-118.5584,20,3.0,Castaic Union School District,New Hall Ranch Santa Clarita Valley
142,34.4318,-118.5584,20,3.9,West Ranch High School,New Hall Ranch Santa Clarita Valley
143,34.4318,-118.5584,20,3.8,Valencia High School,New Hall Ranch Santa Clarita Valley
144,34.4318,-118.5584,20,5.0,Saugus Union School District,New Hall Ranch Santa Clarita Valley
145,34.4318,-118.5584,20,3.6,Canyon High School,New Hall Ranch Santa Clarita Valley
146,34.4318,-118.5584,20,4.2,Hart High School,New Hall Ranch Santa Clarita Valley
147,34.4318,-118.5584,20,4.6,Golden Oak Adult School,New Hall Ranch Santa Clarita Valley
148,34.4318,-118.5584,20,2.6,Castaic Middle School,New Hall Ranch Santa Clarita Valley
149,34.4318,-118.5584,20,,Valencia High School,New Hall Ranch Santa Clarita Valley
150,34.4318,-118.5584,20,3.8,Cedarcreek Elementary School,New Hall Ranch Santa Clarita Valley
151,34.4318,-118.5584,20,4.0,Stevenson Ranch Elementary School,New Hall Ranch Santa Clarita Valley
152,34.4318,-118.5584,20,4.3,Placerita Junior High School,New Hall Ranch Santa Clarita Valley
153,34.4318,-118.5584,20,4.0,Town & Country Farm School Inc,New Hall Ranch Santa Clarita Valley
154,34.4318,-118.5584,20,,Rancho Pico Junior High School,New Hall Ranch Santa Clarita Valley
155,34.4318,-118.5584,20,3.5,Plum Canyon Elementary School,New Hall Ranch Santa Clarita Valley
156,34.4318,-118.5584,20,5.0,Golden Valley High School Football,New Hall Ranch Santa Clarita Valley
157,34.4318,-118.5584,20,5.0,Little School of Music,New Hall Ranch Santa Clarita Valley
158,34.4318,-118.5584,20,5.0,Our Lady of Perpetual Help School,New Hall Ranch Santa Clarita Valley
159,34.4318,-118.5584,20,5.0,Little Shepherd's Nursery School,New Hall Ranch Santa Clarita Valley
160,34.0885,-117.7702,20,3.9,Bonita High School,Pomona Fairplex
161,34.0885,-117.7702,20,4.1,Glendora High School,Pomona Fairplex
162,34.0885,-117.7702,20,3.5,The School of Arts and Enterprise,Pomona Fairplex
163,34.0885,-117.7702,20,4.2,Damien High School,Pomona Fairplex
164,34.0885,-117.7702,20,3.7,Montclair High School,Pomona Fairplex
165,34.0885,-117.7702,20,5.0,Claremont School of Theology,Pomona Fairplex
166,34.0885,-117.7702,20,3.1,Suzanne Middle School,Pomona Fairplex
167,34.0885,-117.7702,20,,Ingenium Schools,Pomona Fairplex
168,34.0885,-117.7702,20,4.0,Serrano Middle School,Pomona Fairplex
169,34.0885,-117.7702,20,,Community Day School,Pomona Fairplex
170,34.0885,-117.7702,20,,Bonita Unified School District Allen,Pomona Fairplex
171,34.0885,-117.7702,20,5.0,KGI School,Pomona Fairplex
172,34.0885,-117.7702,20,4.3,Oakmont Elementary School,Pomona Fairplex
173,34.0885,-117.7702,20,3.3,Lutheran High School,Pomona Fairplex
174,34.0885,-117.7702,20,4.3,Our Lady of the Assumption School,Pomona Fairplex
175,34.0885,-117.7702,20,4.5,Sutherland Elementary School,Pomona Fairplex
176,34.0885,-117.7702,20,4.0,Bonita Unified School District Lone,Pomona Fairplex
177,34.0885,-117.7702,20,4.0,Walnut High School Performing Arts Center,Pomona Fairplex
178,34.0885,-117.7702,20,,Bonita Unified School District,Pomona Fairplex
179,34.0885,-117.7702,20,,Chino School District,Pomona Fairplex
180,42.39,-71,20,1.5,Mystic Valley Regional Charter School,Suffolk Downs
181,42.39,-71,20,,Chelsea School Department,Suffolk Downs
182,42.39,-71,20,,Abiel Smith School,Suffolk Downs
183,42.39,-71,20,3.7,Somerville High School,Suffolk Downs
184,42.39,-71,20,5.0,Sawyer Business School,Suffolk Downs
185,42.39,-71,20,,Empower Schools,Suffolk Downs
186,42.39,-71,20,2.0,Massachusetts School Building Authority,Suffolk Downs
187,42.39,-71,20,,New England School-Law Legal,Suffolk Downs
188,42.39,-71,20,4.3,Everett High School,Suffolk Downs
189,42.39,-71,20,5.0,Harvard law school,Suffolk Downs
190,42.39,-71,20,3.0,Revere Public Schools,Suffolk Downs
191,42.39,-71,20,3.1,Garfield Middle School,Suffolk Downs
192,42.39,-71,20,4.5,Beachmont Veterans Memorial School,Suffolk Downs
193,42.39,-71,20,4.1,Malden High School,Suffolk Downs
194,42.39,-71,20,,Staff Sergeant James j Hill elementary school,Suffolk Downs
195,42.39,-71,20,,boston school,Suffolk Downs
196,42.39,-71,20,4.8,Boston University School of Medicine,Suffolk Downs
197,42.39,-71,20,4.6,MIT Sloan School of Management,Suffolk Downs
198,42.39,-71,20,5.0,Tufts University School Of Medicine,Suffolk Downs
199,42.39,-71,20,4.4,MIT School of Architecture and Planning,Suffolk Downs
200,42.34,-71.03,20,4.5,Harvard Graduate School Of Education,South Boston Waterfront
201,42.34,-71.03,20,4.7,Harvard T.H. Chan School of Public Health,South Boston Waterfront
202,42.34,-71.03,20,,Abiel Smith School,South Boston Waterfront
203,42.34,-71.03,20,4.6,Boston College High School,South Boston Waterfront
204,42.34,-71.03,20,4.5,School of the Museum of Fine Arts at Tufts,South Boston Waterfront
205,42.34,-71.03,20,4.6,Thomas J Kenny School,South Boston Waterfront
206,42.34,-71.03,20,,Association of Independent Schools in New England,South Boston Waterfront
207,42.34,-71.03,20,4.0,Winsor school,South Boston Waterfront
208,42.34,-71.03,20,3.0,George H Conley,South Boston Waterfront
209,42.34,-71.03,20,,New England School-Law Legal,South Boston Waterfront
210,42.34,-71.03,20,4.6,Cambridge Rindge & Latin School,South Boston Waterfront
211,42.34,-71.03,20,,Chelsea School Department,South Boston Waterfront
212,42.34,-71.03,20,4.5,"Austin Hall, Harvard Law School",South Boston Waterfront
213,42.34,-71.03,20,5.0,Harvard law school,South Boston Waterfront
214,42.34,-71.03,20,,Taubman Hall at Harvard Kennedy School,South Boston Waterfront
215,42.34,-71.03,20,,Ashmont Nursery School,South Boston Waterfront
216,42.34,-71.03,20,5.0,Boston University School of Education,South Boston Waterfront
217,42.34,-71.03,20,4.5,Harvard John A. Paulson School Of Engineering And Applied Sciences,South Boston Waterfront
218,42.34,-71.03,20,4.5,Harvard Business School,South Boston Waterfront
219,42.34,-71.03,20,,Tufts University School of Engineering,South Boston Waterfront
220,42.35,-71.05,20,4.5,Harvard Graduate School Of Education,Downtown
221,42.35,-71.05,20,4.7,Harvard T.H. Chan School of Public Health,Downtown
222,42.35,-71.05,20,,Abiel Smith School,Downtown
223,42.35,-71.05,20,4.6,Boston College High School,Downtown
224,42.35,-71.05,20,4.5,School of the Museum of Fine Arts at Tufts,Downtown
225,42.35,-71.05,20,4.5,Harvard John A. Paulson School Of Engineering And Applied Sciences,Downtown
226,42.35,-71.05,20,4.6,Thomas J Kenny School,Downtown
227,42.35,-71.05,20,4.0,Winsor school,Downtown
228,42.35,-71.05,20,,New England School-Law Legal,Downtown
229,42.35,-71.05,20,4.6,Cambridge Rindge & Latin School,Downtown
230,42.35,-71.05,20,4.5,"Austin Hall, Harvard Law School",Downtown
231,42.35,-71.05,20,4.3,Everett High School,Downtown
232,42.35,-71.05,20,5.0,Harvard law school,Downtown
233,42.35,-71.05,20,,Taubman Hall at Harvard Kennedy School,Downtown
234,42.35,-71.05,20,,Ashmont Nursery School,Downtown
235,42.35,-71.05,20,2.2,Roxbury Prep High School,Downtown
236,42.35,-71.05,20,4.2,Harvard Divinity School,Downtown
237,42.35,-71.05,20,4.5,Harvard Business School,Downtown
238,42.35,-71.05,20,,Tufts University School of Engineering,Downtown
239,42.35,-71.05,20,4.8,Boston University School of Medicine,Downtown
240,42.34,-71.06,20,4.5,Harvard Graduate School Of Education,South End
241,42.34,-71.06,20,4.7,Harvard T.H. Chan School of Public Health,South End
242,42.34,-71.06,20,,Abiel Smith School,South End
243,42.34,-71.06,20,4.6,Boston College High School,South End
244,42.34,-71.06,20,4.5,School of the Museum of Fine Arts at Tufts,South End
245,42.34,-71.06,20,4.1,Patrick J. Kennedy Elementary School,South End
246,42.34,-71.06,20,4.5,Harvard John A. Paulson School Of Engineering And Applied Sciences,South End
247,42.34,-71.06,20,4.6,Thomas J Kenny School,South End
248,42.34,-71.06,20,,Association of Independent Schools in New England,South End
249,42.34,-71.06,20,4.0,Winsor school,South End
250,42.34,-71.06,20,,New England School-Law Legal,South End
251,42.34,-71.06,20,4.6,Cambridge Rindge & Latin School,South End
252,42.34,-71.06,20,4.5,"Austin Hall, Harvard Law School",South End
253,42.34,-71.06,20,5.0,Harvard law school,South End
254,42.34,-71.06,20,,Taubman Hall at Harvard Kennedy School,South End
255,42.34,-71.06,20,,Ashmont Nursery School,South End
256,42.34,-71.06,20,4.2,Harvard Divinity School,South End
257,42.34,-71.06,20,4.5,Harvard Business School,South End
258,42.34,-71.06,20,,Tufts University School of Engineering,South End
259,42.34,-71.06,20,4.8,Boston University School of Medicine,South End
260,40.75,-74,20,4.2,Park West High School,Hudson Yards
261,40.75,-74,20,5.0,School,Hudson Yards
262,40.75,-74,20,4.6,The Juilliard School,Hudson Yards
263,40.75,-74,20,4.2,Community Roots Middle School,Hudson Yards
264,40.75,-74,20,4.7,"The New School, Albert and Vera List Academic Center",Hudson Yards
265,40.75,-74,20,4.4,Union City High School,Hudson Yards
266,40.75,-74,20,1.0,"Milano School of International Affairs, Management, and Urban Policy",Hudson Yards
267,40.75,-74,20,5.0,Old Stuyvesant High School,Hudson Yards
268,40.75,-74,20,4.5,School of International and Public Affairs,Hudson Yards
269,40.75,-74,20,4.6,Bard High School Early College,Hudson Yards
270,40.75,-74,20,4.0,P.S. 030 Wilton,Hudson Yards
271,40.75,-74,20,4.0,St Paul's School,Hudson Yards
272,40.75,-74,20,3.8,Trevor Day School - Lower School,Hudson Yards
273,40.75,-74,20,3.9,High School for Environmental Studies,Hudson Yards
274,40.75,-74,20,5.0,The Cathedral School of St. John the Divine,Hudson Yards
275,40.75,-74,20,4.2,New Visions Charter High School for the Humanities II,Hudson Yards
276,40.75,-74,20,,New York Harbor School,Hudson Yards
277,40.75,-74,20,4.4,Intermediate School 318,Hudson Yards
278,40.75,-74,20,4.0,Spruce Street School - PS 397,Hudson Yards
279,40.75,-74,20,4.4,Bishop Loughlin Memorial High School,Hudson Yards
280,40.74,-73.94,20,5.0,School,Long Island City
281,40.74,-73.94,20,,New York City Board of Edu,Long Island City
282,40.74,-73.94,20,,School,Long Island City
283,40.74,-73.94,20,4.6,The Juilliard School,Long Island City
284,40.74,-73.94,20,4.2,Community Roots Middle School,Long Island City
285,40.74,-73.94,20,4.7,"The New School, Albert and Vera List Academic Center",Long Island City
286,40.74,-73.94,20,1.0,"Milano School of International Affairs, Management, and Urban Policy",Long Island City
287,40.74,-73.94,20,5.0,Old Stuyvesant High School,Long Island City
288,40.74,-73.94,20,4.0,Multicultural High School,Long Island City
289,40.74,-73.94,20,2.7,Christopher Avenue Community School,Long Island City
290,40.74,-73.94,20,4.6,Bard High School Early College,Long Island City
291,40.74,-73.94,20,4.0,P.S. 030 Wilton,Long Island City
292,40.74,-73.94,20,4.0,St Paul's School,Long Island City
293,40.74,-73.94,20,3.8,Trevor Day School - Lower School,Long Island City
294,40.74,-73.94,20,3.9,High School for Environmental Studies,Long Island City
295,40.74,-73.94,20,5.0,The Cathedral School of St. John the Divine,Long Island City
296,40.74,-73.94,20,4.4,Intermediate School 318,Long Island City
297,40.74,-73.94,20,4.0,Spruce Street School - PS 397,Long Island City
298,40.74,-73.94,20,4.4,Bishop Loughlin Memorial High School,Long Island City
299,40.74,-73.94,20,4.3,Growing Up Green Middle School,Long Island City
300,40.7,-73.98,20,1.0,Brooklyn School District 14,Brooklyn Tech Triangle
301,40.7,-73.98,20,4.2,Community Roots Middle School,Brooklyn Tech Triangle
302,40.7,-73.98,20,4.7,"The New School, Albert and Vera List Academic Center",Brooklyn Tech Triangle
303,40.7,-73.98,20,4.4,Union City High School,Brooklyn Tech Triangle
304,40.7,-73.98,20,1.0,"Milano School of International Affairs, Management, and Urban Policy",Brooklyn Tech Triangle
305,40.7,-73.98,20,5.0,Old Stuyvesant High School,Brooklyn Tech Triangle
306,40.7,-73.98,20,2.7,Christopher Avenue Community School,Brooklyn Tech Triangle
307,40.7,-73.98,20,4.6,Bard High School Early College,Brooklyn Tech Triangle
308,40.7,-73.98,20,3.9,High School for Environmental Studies,Brooklyn Tech Triangle
309,40.7,-73.98,20,2.7,Teachers Preparatory High School,Brooklyn Tech Triangle
310,40.7,-73.98,20,,New York Harbor School,Brooklyn Tech Triangle
311,40.7,-73.98,20,4.4,Intermediate School 318,Brooklyn Tech Triangle
312,40.7,-73.98,20,4.0,Spruce Street School - PS 397,Brooklyn Tech Triangle
313,40.7,-73.98,20,4.4,Bishop Loughlin Memorial High School,Brooklyn Tech Triangle
314,40.7,-73.98,20,4.3,Growing Up Green Middle School,Brooklyn Tech Triangle
315,40.7,-73.98,20,5.0,Greenwich House Music School,Brooklyn Tech Triangle
316,40.7,-73.98,20,3.1,Bishop Ford Central Catholic High School,Brooklyn Tech Triangle
317,40.7,-73.98,20,3.2,Christ the King Regional High School,Brooklyn Tech Triangle
318,40.7,-73.98,20,,New York University Stern School,Brooklyn Tech Triangle
319,40.7,-73.98,20,3.9,Blue School,Brooklyn Tech Triangle
320,40.7,-74.01,20,1.0,Brooklyn School District 14,Financial District
321,40.7,-74.01,20,4.2,Community Roots Middle School,Financial District
322,40.7,-74.01,20,4.7,"The New School, Albert and Vera List Academic Center",Financial District
323,40.7,-74.01,20,4.4,Union City High School,Financial District
324,40.7,-74.01,20,1.0,"Milano School of International Affairs, Management, and Urban Policy",Financial District
325,40.7,-74.01,20,5.0,Old Stuyvesant High School,Financial District
326,40.7,-74.01,20,4.6,Bard High School Early College,Financial District
327,40.7,-74.01,20,3.9,High School for Environmental Studies,Financial District
328,40.7,-74.01,20,,New York Harbor School,Financial District
329,40.7,-74.01,20,4.4,Intermediate School 318,Financial District
330,40.7,-74.01,20,4.0,Spruce Street School - PS 397,Financial District
331,40.7,-74.01,20,4.4,Bishop Loughlin Memorial High School,Financial District
332,40.7,-74.01,20,5.0,Greenwich House Music School,Financial District
333,40.7,-74.01,20,3.1,Bishop Ford Central Catholic High School,Financial District
334,40.7,-74.01,20,4.9,St. Peter's Boys' High School,Financial District
335,40.7,-74.01,20,,New York University Stern School,Financial District
336,40.7,-74.01,20,3.9,Blue School,Financial District
337,40.7,-74.01,20,,Blue School,Financial District
338,40.7,-74.01,20,4.6,MS 442 School for Innovation,Financial District
339,40.7,-74.01,20,,NYC Board of Education,Financial District
340,41.91,-87.64,20,,Schools,Lincoln Yards
341,41.91,-87.64,20,4.2,Lane Tech College Prep High School,Lincoln Yards
342,41.91,-87.64,20,3.6,Merit School of Music,Lincoln Yards
343,41.91,-87.64,20,5.0,Chicago Jewish Day School,Lincoln Yards
344,41.91,-87.64,20,3.9,Our Lady of Tepeyac High School,Lincoln Yards
345,41.91,-87.64,20,4.0,Innovations High School,Lincoln Yards
346,41.91,-87.64,20,4.0,Westinghouse College Prep High School,Lincoln Yards
347,41.91,-87.64,20,4.8,The French Pastry School,Lincoln Yards
348,41.91,-87.64,20,4.1,School of the Art Institute of Chicago,Lincoln Yards
349,41.91,-87.64,20,4.0,The Chicago School of Professional Psychology,Lincoln Yards
350,41.91,-87.64,20,4.5,Northwestern Pritzker School of Law,Lincoln Yards
351,41.91,-87.64,20,4.2,John Marshall Law School,Lincoln Yards
352,41.91,-87.64,20,,School,Lincoln Yards
353,41.91,-87.64,20,4.0,School of the Art Institute of Chicago,Lincoln Yards
354,41.91,-87.64,20,4.2,UIC School of Architecture,Lincoln Yards
355,41.91,-87.64,20,5.0,School of the Art Institute of Chicago,Lincoln Yards
356,41.91,-87.64,20,,The school,Lincoln Yards
357,41.91,-87.64,20,4.8,Vagabond School of the Arts,Lincoln Yards
358,41.91,-87.64,20,3.5,UIC College Prep,Lincoln Yards
359,41.91,-87.64,20,4.0,Crane Technical Prep High School,Lincoln Yards
360,41.89,-87.64,20,,Schools,The River District
361,41.89,-87.64,20,4.2,Lane Tech College Prep High School,The River District
362,41.89,-87.64,20,3.6,Merit School of Music,The River District
363,41.89,-87.64,20,4.1,Pickard Elementary School,The River District
