,Latitude,Longitude,Name,Rating,Site Name,count of
63,38.88,-76.97,Washington DC VA Medical Center,3.3,Hill-East Neighborhood,17
64,38.88,-76.97,V-A CRRC,4,Hill-East Neighborhood,17
65,38.88,-76.97,United Medical Center,1.4,Hill-East Neighborhood,17
66,38.88,-76.97,Magellan Health Services,NAN,Hill-East Neighborhood,17
67,38.88,-76.97,Physician Hospitals of America,NAN,Hill-East Neighborhood,17
68,38.91,-77.02,George Washington University Hospital,2.9,Shaw-Howard University Area,17
69,38.91,-77.02,MedStar Washington Hospital Center,3.2,Shaw-Howard University Area,17
70,38.91,-77.02,Howard University Hospital,2.7,Shaw-Howard University Area,17
71,38.91,-77.02,Providence Hospital,2.6,Shaw-Howard University Area,17
72,38.91,-77.02,Georgetown University Hospital Rad,NAN,Shaw-Howard University Area,17
73,38.91,-77.02,Sibley Memorial Hospital,3.6,Shaw-Howard University Area,17
74,38.91,-77.02,Soldiers Home,5,Shaw-Howard University Area,17
75,38.91,-77.02,Unity Health Care,4,Shaw-Howard University Area,17
76,38.91,-77.02,Fresenius Medical Care,NAN,Shaw-Howard University Area,17
77,38.91,-77.02,BridgePoint Hospital Capitol Hill,2.7,Shaw-Howard University Area,17
78,38.91,-77.02,Georgetown University Hospital,NAN,Shaw-Howard University Area,17
79,38.91,-77.02,St. Elizabeths Hospital,4.1,Shaw-Howard University Area,17
80,38.91,-77.02,Children's National Medical Center,3.9,Shaw-Howard University Area,17
81,38.91,-77.02,Washington DC VA Medical Center,3.3,Shaw-Howard University Area,17
82,38.91,-77.02,V-A CRRC,4,Shaw-Howard University Area,17
83,38.91,-77.02,"Seventh-Day Adventist Hospital,",1,Shaw-Howard University Area,17
84,38.91,-77.02,Magellan Health Services,NAN,Shaw-Howard University Area,17
85,34.1802,-118.6028,West Hills Hospital & Medical Center,3.4,Warner Center West San Fernando Valley,2
86,34.1802,-118.6028,Dignity Health - Northridge Hospital Medical Center,3.5,Warner Center West San Fernando Valley,2
87,34.4318,-118.5584,Henry Mayo Newhall Hospital,3.2,New Hall Ranch Santa Clarita Valley,5
88,34.4318,-118.5584,Children's Hospital Los Angeles - Valencia Care Center,5,New Hall Ranch Santa Clarita Valley,5
89,34.4318,-118.5584,Providence Holy Cross Health Center at Santa Clarita,NAN,New Hall Ranch Santa Clarita Valley,5
90,34.4318,-118.5584,Henry Mayo Wound Care Center,NAN,New Hall Ranch Santa Clarita Valley,5
91,34.4318,-118.5584,Pediatric Cardiology Medical Associates,NAN,New Hall Ranch Santa Clarita Valley,5
92,34.0885,-117.7702,San Dimas Community Hospital,2.7,Pomona Fairplex,8
93,34.0885,-117.7702,Pomona Valley Hospital Medical Center,2.7,Pomona Fairplex,8
94,34.0885,-117.7702,Montclair Hospital Medical Center,2.7,Pomona Fairplex,8
95,34.0885,-117.7702,Hospital,1,Pomona Fairplex,8
96,34.0885,-117.7702,Chino Valley Medical Center,2.8,Pomona Fairplex,8
97,34.0885,-117.7702,Pomona Valley Health Centers,NAN,Pomona Fairplex,8
98,34.0885,-117.7702,My Family Medical Group,NAN,Pomona Fairplex,8
99,34.0885,-117.7702,Casa Colina Hospital and Centers for Healthcare,4.1,Pomona Fairplex,8
100,42.39,-71,Massachusetts General Hospital Plastic & Reconstructive Surgery,4.2,Suffolk Downs,16
101,42.39,-71,"Dr. Alex B. Haynes, MD",NAN,Suffolk Downs,16
102,42.39,-71,mass general hospital,5,Suffolk Downs,16
103,42.39,-71,MGH Downtown Primary Care,5,Suffolk Downs,16
104,42.39,-71,Tufts Medical Center,3.8,Suffolk Downs,16
105,42.39,-71,CHA Everett Hospital Campus,2.6,Suffolk Downs,16
106,42.39,-71,Medical Center Hospital,5,Suffolk Downs,16
107,42.39,-71,Dr Jonathan Sillman,NAN,Suffolk Downs,16
108,42.39,-71,Harvard Vanguard Post Office Square,4,Suffolk Downs,16
109,42.39,-71,MGH Chelsea Healthcare Center,4.1,Suffolk Downs,16
110,42.39,-71,MGH Charlestown HealthCare Center,3.5,Suffolk Downs,16
111,42.39,-71,East Boston Neighborhood Health Center,3.1,Suffolk Downs,16
112,42.39,-71,Boston Medical Center,3.5,Suffolk Downs,16
113,42.39,-71,Pediatric Otolaryngology | MassGeneral Hospital for Children,NAN,Suffolk Downs,16
114,42.39,-71,Floating Hospital,5,Suffolk Downs,16
115,42.39,-71,Shriners Hospitals for Children,4.9,Suffolk Downs,16
116,42.34,-71.03,Massachusetts General Hospital Plastic & Reconstructive Surgery,4.2,South Boston Waterfront,20
117,42.34,-71.03,"Dr. Alex B. Haynes, MD",NAN,South Boston Waterfront,20
118,42.34,-71.03,mass general hospital,5,South Boston Waterfront,20
119,42.34,-71.03,MGH Downtown Primary Care,5,South Boston Waterfront,20
120,42.34,-71.03,Beth Israel Deaconess Medical Center,NAN,South Boston Waterfront,20
121,42.34,-71.03,CHA Somerville Hospital,3.3,South Boston Waterfront,20
122,42.34,-71.03,Tufts Medical Center,3.8,South Boston Waterfront,20
123,42.34,-71.03,Lemuel Shattuck Hospital,2.8,South Boston Waterfront,20
124,42.34,-71.03,CHA Everett Hospital Campus,2.6,South Boston Waterfront,20
125,42.34,-71.03,Medical Center Hospital,5,South Boston Waterfront,20
126,42.34,-71.03,Boston Children's Hospital Financial and Billing,NAN,South Boston Waterfront,20
127,42.34,-71.03,Dr Jonathan Sillman,NAN,South Boston Waterfront,20
128,42.34,-71.03,Harvard Vanguard Post Office Square,4,South Boston Waterfront,20
129,42.34,-71.03,The Harvard Vanguard Cambridge,NAN,South Boston Waterfront,20
130,42.34,-71.03,Kenmore - Harvard Vanguard,NAN,South Boston Waterfront,20
131,42.34,-71.03,Harvard Street Neighborhood,2.9,South Boston Waterfront,20
132,42.34,-71.03,Beth Israel Deaconess Medical Center,3.7,South Boston Waterfront,20
133,42.34,-71.03,Brigham and Women's Hospital,3.8,South Boston Waterfront,20
134,42.34,-71.03,MGH Chelsea Healthcare Center,4.1,South Boston Waterfront,20
135,42.34,-71.03,MGH Charlestown HealthCare Center,3.5,South Boston Waterfront,20
136,42.35,-71.05,Massachusetts General Hospital Plastic & Reconstructive Surgery,4.2,Downtown,20
137,42.35,-71.05,Mount Auburn Hospital,3.2,Downtown,20
138,42.35,-71.05,"Dr. Alex B. Haynes, MD",NAN,Downtown,20
139,42.35,-71.05,mass general hospital,5,Downtown,20
140,42.35,-71.05,MGH Downtown Primary Care,5,Downtown,20
141,42.35,-71.05,Beth Israel Deaconess Medical Center,NAN,Downtown,20
142,42.35,-71.05,CHA Somerville Hospital,3.3,Downtown,20
143,42.35,-71.05,Tufts Medical Center,3.8,Downtown,20
144,42.35,-71.05,Lemuel Shattuck Hospital,2.8,Downtown,20
145,42.35,-71.05,CHA Everett Hospital Campus,2.6,Downtown,20
146,42.35,-71.05,Medical Center Hospital,5,Downtown,20
147,42.35,-71.05,Boston Children's Hospital Financial and Billing,NAN,Downtown,20
148,42.35,-71.05,St. Elizabeth's Medical Center,3,Downtown,20
149,42.35,-71.05,Dr Jonathan Sillman,NAN,Downtown,20
150,42.35,-71.05,Harvard Vanguard Post Office Square,4,Downtown,20
151,42.35,-71.05,The Harvard Vanguard Cambridge,NAN,Downtown,20
152,42.35,-71.05,Kenmore - Harvard Vanguard,NAN,Downtown,20
153,42.35,-71.05,Harvard Street Neighborhood,2.9,Downtown,20
154,42.35,-71.05,Beth Israel Deaconess Medical Center,3.7,Downtown,20
155,42.35,-71.05,Brigham and Women's Hospital,3.8,Downtown,20
156,42.34,-71.06,Massachusetts General Hospital Plastic & Reconstructive Surgery,4.2,South End,20
157,42.34,-71.06,Mount Auburn Hospital,3.2,South End,20
158,42.34,-71.06,"Dr. Alex B. Haynes, MD",NAN,South End,20
159,42.34,-71.06,mass general hospital,5,South End,20
160,42.34,-71.06,MGH Downtown Primary Care,5,South End,20
161,42.34,-71.06,Beth Israel Deaconess Medical Center,NAN,South End,20
162,42.34,-71.06,CHA Somerville Hospital,3.3,South End,20
163,42.34,-71.06,Tufts Medical Center,3.8,South End,20
164,42.34,-71.06,Lemuel Shattuck Hospital,2.8,South End,20
165,42.34,-71.06,CHA Everett Hospital Campus,2.6,South End,20
166,42.34,-71.06,Medical Center Hospital,5,South End,20
167,42.34,-71.06,Boston Children's Hospital Financial and Billing,NAN,South End,20
168,42.34,-71.06,St. Elizabeth's Medical Center,3,South End,20
169,42.34,-71.06,Dr Jonathan Sillman,NAN,South End,20
170,42.34,-71.06,Harvard Vanguard Post Office Square,4,South End,20
171,42.34,-71.06,The Harvard Vanguard Cambridge,NAN,South End,20
172,42.34,-71.06,Kenmore - Harvard Vanguard,NAN,South End,20
173,42.34,-71.06,Harvard Street Neighborhood,2.9,South End,20
174,42.34,-71.06,Beth Israel Deaconess Medical Center,3.7,South End,20
175,42.34,-71.06,Brigham and Women's Hospital,3.8,South End,20
176,40.75,-74,NYC Health + Hospitals/Metropolitan,3.3,Hudson Yards,20
177,40.75,-74,Bellevue Hospital Center,3.6,Hudson Yards,20
178,40.75,-74,NewYork-Presbyterian/Lower Manhattan Hospital,3.7,Hudson Yards,20
179,40.75,-74,NYC Health + Hospitals/Harlem,2.6,Hudson Yards,20
180,40.75,-74,The Mount Sinai Hospital,4.1,Hudson Yards,20
181,40.75,-74,NYC Health + Hospitals/Woodhull,2.5,Hudson Yards,20
182,40.75,-74,NYC Health + Hospitals,NAN,Hudson Yards,20
183,40.75,-74,Meadowlands Hospital Medical Center,2.5,Hudson Yards,20
184,40.75,-74,Mount Sinai Beth Israel,3.7,Hudson Yards,20
185,40.75,-74,The Brooklyn Hospital Center,3,Hudson Yards,20
186,40.75,-74,Long Island College Hospital,3,Hudson Yards,20
187,40.75,-74,NewYork-Presbyterian Hospital,1,Hudson Yards,20
188,40.75,-74,NYU Langone Medical Associates,NAN,Hudson Yards,20
189,40.75,-74,Christ Hospital,2.4,Hudson Yards,20
190,40.75,-74,Weill Cornell Medicine,NAN,Hudson Yards,20
191,40.75,-74,Concorde Medical Group,NAN,Hudson Yards,20
192,40.75,-74,NewYork Presbyterian Hospital,3.1,Hudson Yards,20
193,40.75,-74,New York Presbyterian Hospital,5,Hudson Yards,20
194,40.75,-74,New York City Health & Hospital,4,Hudson Yards,20
195,40.75,-74,New York Methodist Hospital,3,Hudson Yards,20
196,40.74,-73.94,NYC Health + Hospitals/Metropolitan,3.3,Long Island City,20
197,40.74,-73.94,Bellevue Hospital Center,3.6,Long Island City,20
198,40.74,-73.94,NewYork-Presbyterian/Lower Manhattan Hospital,3.7,Long Island City,20
199,40.74,-73.94,The Mount Sinai Hospital,4.1,Long Island City,20
200,40.74,-73.94,NYC Health + Hospitals/Woodhull,2.5,Long Island City,20
201,40.74,-73.94,NYC Health + Hospitals/Elmhurst,2.2,Long Island City,20
202,40.74,-73.94,NewYork-Presbyterian Brooklyn Methodist Hospital,NAN,Long Island City,20
203,40.74,-73.94,Mount Sinai Beth Israel,3.7,Long Island City,20
204,40.74,-73.94,The Brooklyn Hospital Center,3,Long Island City,20
205,40.74,-73.94,Long Island College Hospital,3,Long Island City,20
206,40.74,-73.94,New York City-Health & Hospital,3,Long Island City,20
207,40.74,-73.94,NewYork-Presbyterian Hospital,1,Long Island City,20
208,40.74,-73.94,NewYork-Presbyterian Brooklyn Methodist Hospital,3.3,Long Island City,20
209,40.74,-73.94,NYU Langone Medical Associates,NAN,Long Island City,20
210,40.74,-73.94,Weill Cornell Medicine,NAN,Long Island City,20
211,40.74,-73.94,Concorde Medical Group,NAN,Long Island City,20
212,40.74,-73.94,NewYork Presbyterian Hospital,3.1,Long Island City,20
213,40.74,-73.94,New York Presbyterian Hospital,5,Long Island City,20
214,40.74,-73.94,New York City Health & Hospital,4,Long Island City,20
215,40.74,-73.94,New York Methodist Hospital,3,Long Island City,20
216,40.7,-73.98,NYC Health + Hospitals/Woodhull,2.5,Brooklyn Tech Triangle,20
217,40.7,-73.98,NewYork-Presbyterian Brooklyn Methodist Hospital,3.3,Brooklyn Tech Triangle,20
218,40.7,-73.98,Brookdale Hospital Medical Center,2,Brooklyn Tech Triangle,20
219,40.7,-73.98,Interfaith Medical Center,2.3,Brooklyn Tech Triangle,20
220,40.7,-73.98,NYC Health + Hospitals/Elmhurst,2.2,Brooklyn Tech Triangle,20
221,40.7,-73.98,NewYork-Presbyterian Brooklyn Methodist Hospital,NAN,Brooklyn Tech Triangle,20
222,40.7,-73.98,The Brooklyn Hospital Center,3,Brooklyn Tech Triangle,20
223,40.7,-73.98,Long Island College Hospital,3,Brooklyn Tech Triangle,20
224,40.7,-73.98,NewYork-Presbyterian/Lower Manhattan Hospital,3.7,Brooklyn Tech Triangle,20
225,40.7,-73.98,New York City-Health & Hospital,3,Brooklyn Tech Triangle,20
226,40.7,-73.98,Bellevue Hospital Center,3.6,Brooklyn Tech Triangle,20
227,40.7,-73.98,NewYork-Presbyterian Hospital,1,Brooklyn Tech Triangle,20
228,40.7,-73.98,NYU Langone Medical Associates,NAN,Brooklyn Tech Triangle,20
229,40.7,-73.98,Christ Hospital,2.4,Brooklyn Tech Triangle,20
230,40.7,-73.98,Concorde Medical Group,NAN,Brooklyn Tech Triangle,20
231,40.7,-73.98,Weill Cornell Medicine,NAN,Brooklyn Tech Triangle,20
232,40.7,-73.98,NewYork Presbyterian Hospital,3.1,Brooklyn Tech Triangle,20
233,40.7,-73.98,New York Presbyterian Hospital,5,Brooklyn Tech Triangle,20
234,40.7,-73.98,Brooklyn Hospital Family Center,1.5,Brooklyn Tech Triangle,20
235,40.7,-73.98,New York Methodist Hospital,3,Brooklyn Tech Triangle,20
236,40.7,-74.01,Christ Hospital,2.4,Financial District,20
237,40.7,-74.01,Jersey City Medical Center,2.7,Financial District,20
238,40.7,-74.01,NYC Health + Hospitals/Woodhull,2.5,Financial District,20
239,40.7,-74.01,NewYork-Presbyterian Brooklyn Methodist Hospital,NAN,Financial District,20
240,40.7,-74.01,The Brooklyn Hospital Center,3,Financial District,20
241,40.7,-74.01,Long Island College Hospital,3,Financial District,20
242,40.7,-74.01,NewYork-Presbyterian/Lower Manhattan Hospital,3.7,Financial District,20
243,40.7,-74.01,NewYork-Presbyterian Brooklyn Methodist Hospital,3.3,Financial District,20
244,40.7,-74.01,New York City-Health & Hospital,3,Financial District,20
245,40.7,-74.01,Bellevue Hospital Center,3.6,Financial District,20
246,40.7,-74.01,NewYork-Presbyterian Hospital,1,Financial District,20
247,40.7,-74.01,NYU Langone Medical Associates,NAN,Financial District,20
248,40.7,-74.01,Weill Cornell Medicine,NAN,Financial District,20
249,40.7,-74.01,Concorde Medical Group,NAN,Financial District,20
250,40.7,-74.01,NewYork Presbyterian Hospital,3.1,Financial District,20
251,40.7,-74.01,New York Presbyterian Hospital,5,Financial District,20
252,40.7,-74.01,Brooklyn Hospital Family Center,1.5,Financial District,20
253,40.7,-74.01,New York Methodist Hospital,3,Financial District,20
254,40.7,-74.01,The Children's Hospital of Hudson County,5,Financial District,20
255,40.7,-74.01,Maimonides Medical Center,2.7,Financial District,20
256,41.91,-87.64,Weiss Memorial Hospital,2.8,Lincoln Yards,20
257,41.91,-87.64,Northwestern Memorial Hospital,3.5,Lincoln Yards,20
258,41.91,-87.64,Mercy Hospital & Medical Center,2.6,Lincoln Yards,20
259,41.91,-87.64,Norwegian American Hospital,2.9,Lincoln Yards,20
260,41.91,-87.64,Kindred Hospital Chicago North,3.2,Lincoln Yards,20
261,41.91,-87.64,Methodist Hospital of Chicago,2.2,Lincoln Yards,20
262,41.91,-87.64,University of Illinois Hospital & Health Sciences System,3.2,Lincoln Yards,20
263,41.91,-87.64,Thorek Memorial Hospital,2.2,Lincoln Yards,20
264,41.91,-87.64,"John H. Stroger, Jr. Hospital of Cook County",3.2,Lincoln Yards,20
265,41.91,-87.64,Saint Anthony Hospital,3.1,Lincoln Yards,20
266,41.91,-87.64,Rush University Medical Center,3.8,Lincoln Yards,20
267,41.91,-87.64,ST. PATRICK MEMORIAL HOSPITAL,NAN,Lincoln Yards,20
268,41.91,-87.64,Swedish Covenant Hospital,NAN,Lincoln Yards,20
269,41.91,-87.64,NorthShore University HealthSystem,NAN,Lincoln Yards,20
270,41.91,-87.64,Saint Elizabeth Hospital,3.9,Lincoln Yards,20
271,41.91,-87.64,Mount Sinai Hospital,2.5,Lincoln Yards,20
272,41.91,-87.64,North Health Service Corporation,2.3,Lincoln Yards,20
273,41.91,-87.64,University of Chicago Medicine Center for Advanced Care at South Loop,5,Lincoln Yards,20
274,41.91,-87.64,Antillas Family Medical Center,2.4,Lincoln Yards,20
275,41.91,-87.64,Rush University Medical Center,NAN,Lincoln Yards,20
276,41.89,-87.64,Northwestern Memorial Hospital,3.5,The River District,20
277,41.89,-87.64,Mercy Hospital & Medical Center,2.6,The River District,20
278,41.89,-87.64,Norwegian American Hospital,2.9,The River District,20
279,41.89,-87.64,Kindred Hospital Chicago North,3.2,The River District,20
280,41.89,-87.64,University of Illinois Hospital & Health Sciences System,3.2,The River District,20
281,41.89,-87.64,Thorek Memorial Hospital,2.2,The River District,20
282,41.89,-87.64,"John H. Stroger, Jr. Hospital of Cook County",3.2,The River District,20
283,41.89,-87.64,Saint Anthony Hospital,3.1,The River District,20
284,41.89,-87.64,Rush University Medical Center,3.8,The River District,20
285,41.89,-87.64,ST. PATRICK MEMORIAL HOSPITAL,NAN,The River District,20
286,41.89,-87.64,NorthShore University HealthSystem,NAN,The River District,20
287,41.89,-87.64,Saint Elizabeth Hospital,3.9,The River District,20
288,41.89,-87.64,Mount Sinai Hospital,2.5,The River District,20
289,41.89,-87.64,North Health Service Corporation,2.3,The River District,20
290,41.89,-87.64,University of Chicago Medicine Center for Advanced Care at South Loop,5,The River District,20
291,41.89,-87.64,Antillas Family Medical Center,2.4,The River District,20
292,41.89,-87.64,Rush University Medical Center,NAN,The River District,20
293,41.89,-87.64,Presence Saint Joseph Hospital,3.5,The River District,20
294,41.89,-87.64,Advocate Health Care,NAN,The River District,20
295,41.89,-87.64,Ann & Robert H. Lurie Children's Hospital of Chicago,4.3,The River District,20
296,41.88,-87.65,Northwestern Memorial Hospital,3.5,Futton Market,20
297,41.88,-87.65,Mercy Hospital & Medical Center,2.6,Futton Market,20
298,41.88,-87.65,Norwegian American Hospital,2.9,Futton Market,20
299,41.88,-87.65,University of Illinois Hospital & Health Sciences System,3.2,Futton Market,20
300,41.88,-87.65,University of Illinois Hospital,3,Futton Market,20
301,41.88,-87.65,"John H. Stroger, Jr. Hospital of Cook County",3.2,Futton Market,20
302,41.88,-87.65,Saint Anthony Hospital,3.1,Futton Market,20
303,41.88,-87.65,Rush University Medical Center,3.8,Futton Market,20
304,41.88,-87.65,ST. PATRICK MEMORIAL HOSPITAL,NAN,Futton Market,20
305,41.88,-87.65,NorthShore University HealthSystem,NAN,Futton Market,20
306,41.88,-87.65,Saint Elizabeth Hospital,3.9,Futton Market,20
307,41.88,-87.65,Mount Sinai Hospital,2.5,Futton Market,20
308,41.88,-87.65,North Health Service Corporation,2.3,Futton Market,20
309,41.88,-87.65,University of Chicago Medicine Center for Advanced Care at South Loop,5,Futton Market,20
310,41.88,-87.65,Antillas Family Medical Center,2.4,Futton Market,20
311,41.88,-87.65,Rush University Medical Center,NAN,Futton Market,20
312,41.88,-87.65,Presence Saint Joseph Hospital,3.5,Futton Market,20
313,41.88,-87.65,Advocate Health Care,NAN,Futton Market,20
314,41.88,-87.65,Ann & Robert H. Lurie Children's Hospital of Chicago,4.3,Futton Market,20
315,41.88,-87.65,Kindred Chicago Central Hospital,4.2,Futton Market,20
316,41.87,-87.63,Northwestern Memorial Hospital,3.5,City Center Campus,20
317,41.87,-87.63,Mercy Hospital & Medical Center,2.6,City Center Campus,20
318,41.87,-87.63,Norwegian American Hospital,2.9,City Center Campus,20
319,41.87,-87.63,University of Illinois Hospital & Health Sciences System,3.2,City Center Campus,20
320,41.87,-87.63,University of Illinois Hospital,3,City Center Campus,20
321,41.87,-87.63,"John H. Stroger, Jr. Hospital of Cook County",3.2,City Center Campus,20
322,41.87,-87.63,Saint Anthony Hospital,3.1,City Center Campus,20
323,41.87,-87.63,Rush University Medical Center,3.8,City Center Campus,20
324,41.87,-87.63,ST. PATRICK MEMORIAL HOSPITAL,NAN,City Center Campus,20
325,41.87,-87.63,Saint Elizabeth Hospital,3.9,City Center Campus,20
326,41.87,-87.63,Provident Hospital of Cook County,3.8,City Center Campus,20
327,41.87,-87.63,Mount Sinai Hospital,2.5,City Center Campus,20
328,41.87,-87.63,North Health Service Corporation,2.3,City Center Campus,20
329,41.87,-87.63,University of Chicago Medicine Center for Advanced Care at South Loop,5,City Center Campus,20
330,41.87,-87.63,Antillas Family Medical Center,2.4,City Center Campus,20
331,41.87,-87.63,Rush University Medical Center,NAN,City Center Campus,20
332,41.87,-87.63,Presence Saint Joseph Hospital,3.5,City Center Campus,20
333,41.87,-87.63,Advocate Health Care,NAN,City Center Campus,20
334,41.87,-87.63,Advocate Health Center,NAN,City Center Campus,20
335,41.87,-87.63,Ann & Robert H. Lurie Children's Hospital of Chicago,4.3,City Center Campus,20
336,41.87,-87.62,Northwestern Memorial Hospital,3.5,The Downtown District,20
337,41.87,-87.62,Mercy Hospital & Medical Center,2.6,The Downtown District,20
338,41.87,-87.62,Norwegian American Hospital,2.9,The Downtown District,20
339,41.87,-87.62,University of Illinois Hospital & Health Sciences System,3.2,The Downtown District,20
340,41.87,-87.62,University of Illinois Hospital,3,The Downtown District,20
341,41.87,-87.62,"John H. Stroger, Jr. Hospital of Cook County",3.2,The Downtown District,20
342,41.87,-87.62,Saint Anthony Hospital,3.1,The Downtown District,20
343,41.87,-87.62,Rush University Medical Center,3.8,The Downtown District,20
344,41.87,-87.62,ST. PATRICK MEMORIAL HOSPITAL,NAN,The Downtown District,20
345,41.87,-87.62,Saint Elizabeth Hospital,3.9,The Downtown District,20
346,41.87,-87.62,Provident Hospital of Cook County,3.8,The Downtown District,20
347,41.87,-87.62,Mount Sinai Hospital,2.5,The Downtown District,20
348,41.87,-87.62,North Health Service Corporation,2.3,The Downtown District,20
349,41.87,-87.62,University of Chicago Medicine Center for Advanced Care at South Loop,5,The Downtown District,20
350,41.87,-87.62,Antillas Family Medical Center,2.4,The Downtown District,20
351,41.87,-87.62,Rush University Medical Center,NAN,The Downtown District,20
352,41.87,-87.62,Presence Saint Joseph Hospital,3.5,The Downtown District,20
353,41.87,-87.62,Advocate Health Care,NAN,The Downtown District,20
354,41.87,-87.62,Advocate Health Center,NAN,The Downtown District,20
355,41.87,-87.62,Ann & Robert H. Lurie Children's Hospital of Chicago,4.3,The Downtown District,20
356,41.86,-87.67,Northwestern Memorial Hospital,3.5,The Illinois Medical District,19
357,41.86,-87.67,Mercy Hospital & Medical Center,2.6,The Illinois Medical District,19
358,41.86,-87.67,Norwegian American Hospital,2.9,The Illinois Medical District,19
