,City Name,Facility cafe,Latitude,Longitude,Rating,Site Name,cafe Total Count,price_level
118,Los Angeles,California Bakery & Cafe,34.4318,-118.5584,4.3,New Hall Ranch Santa Clarita Valley,19,NAN
119,Los Angeles,Tea Elle C Garden Cafe',34.4318,-118.5584,4.5,New Hall Ranch Santa Clarita Valley,19,NAN
120,Los Angeles,Nestle Toll House Cafe,34.4318,-118.5584,4.7,New Hall Ranch Santa Clarita Valley,19,NAN
121,Los Angeles,85C Bakery Cafe - Valencia,34.4318,-118.5584,3.7,New Hall Ranch Santa Clarita Valley,19,NAN
122,Los Angeles,Peet's Coffee,34.4318,-118.5584,4.4,New Hall Ranch Santa Clarita Valley,19,1
123,Los Angeles,Bodhi Leaf Coffee Traders,34.4318,-118.5584,4.9,New Hall Ranch Santa Clarita Valley,19,NAN
124,Los Angeles,The Coffee Bean & Tea Leaf,34.4318,-118.5584,4.3,New Hall Ranch Santa Clarita Valley,19,1
125,Los Angeles,The Coffee Bean & Tea Leaf,34.4318,-118.5584,4.6,New Hall Ranch Santa Clarita Valley,19,2
126,Los Angeles,Alessandro Caffe Inc,34.4318,-118.5584,NAN,New Hall Ranch Santa Clarita Valley,19,NAN
127,Los Angeles,Undergrounds Coffeehouse,34.4318,-118.5584,4.6,New Hall Ranch Santa Clarita Valley,19,NAN
128,Los Angeles,Starbucks,34.4318,-118.5584,3.9,New Hall Ranch Santa Clarita Valley,19,2
129,Los Angeles,Coffee Kiosk,34.4318,-118.5584,4.7,New Hall Ranch Santa Clarita Valley,19,NAN
130,Los Angeles,Starbucks,34.4318,-118.5584,4.2,New Hall Ranch Santa Clarita Valley,19,NAN
131,Los Angeles,Starbucks,34.4318,-118.5584,4,New Hall Ranch Santa Clarita Valley,19,2
132,Los Angeles,Starbucks,34.4318,-118.5584,5,New Hall Ranch Santa Clarita Valley,19,2
133,Los Angeles,Dunkin' Donuts,34.4318,-118.5584,3.8,New Hall Ranch Santa Clarita Valley,19,NAN
134,Los Angeles,Le Donut & Cafe,34.0885,-117.7702,4.8,Pomona Fairplex,6,NAN
135,Los Angeles,Cactus Coffee,34.0885,-117.7702,4.6,Pomona Fairplex,6,NAN
136,Los Angeles,Starbucks,34.0885,-117.7702,4,Pomona Fairplex,6,2
137,Los Angeles,Starbucks,34.0885,-117.7702,4.2,Pomona Fairplex,6,2
138,Los Angeles,aqua café,34.0885,-117.7702,NAN,Pomona Fairplex,6,NAN
139,Boston,Starbucks,34.0885,-117.7702,3.8,Pomona Fairplex,6,2
140,Boston,Winthrop Center Cafe,42.39,-71,4.4,Suffolk Downs,9,NAN
141,Boston,Jac's Cafe,42.39,-71,4.7,Suffolk Downs,9,NAN
142,Boston,Cafe Costa Del Sol,42.39,-71,3.9,Suffolk Downs,9,NAN
143,Boston,Cafe Delite,42.39,-71,3.8,Suffolk Downs,9,NAN
144,Boston,Pan Y Cafe Chelsea,42.39,-71,4.7,Suffolk Downs,9,NAN
145,Boston,Brewin Cafe,42.39,-71,4.2,Suffolk Downs,9,NAN
146,Boston,Boston Back Bay Cafe,42.39,-71,NAN,Suffolk Downs,9,NAN
147,Boston,Starbucks,42.39,-71,4.1,Suffolk Downs,9,2
148,Boston,Hi-Tide,42.39,-71,4.3,Suffolk Downs,9,NAN
149,Boston,Metro Cafe,42.34,-71.03,3.6,South Boston Waterfront,20,NAN
150,Boston,Milk Street Cafe,42.34,-71.03,4.4,South Boston Waterfront,20,1
151,Boston,Cafe Polonia,42.34,-71.03,4.6,South Boston Waterfront,20,2
152,Boston,Blue State Coffee,42.34,-71.03,4.6,South Boston Waterfront,20,NAN
153,Boston,Sip Cafe,42.34,-71.03,4.5,South Boston Waterfront,20,2
154,Boston,Boston Cafe,42.34,-71.03,4,South Boston Waterfront,20,NAN
155,Boston,Capital One Café,42.34,-71.03,3,South Boston Waterfront,20,NAN
156,Boston,Trio Cafe,42.34,-71.03,4,South Boston Waterfront,20,NAN
157,Boston,Boston News Café and Catering,42.34,-71.03,4.4,South Boston Waterfront,20,1
158,Boston,Al's State Street Cafe,42.34,-71.03,4.5,South Boston Waterfront,20,1
159,Boston,Render Coffee,42.34,-71.03,4.4,South Boston Waterfront,20,1
160,Boston,Winsor Dim Sum Café,42.34,-71.03,4.1,South Boston Waterfront,20,2
161,Boston,The Kitchen Café,42.34,-71.03,5,South Boston Waterfront,20,NAN
162,Boston,Mike's Cafe,42.34,-71.03,4.6,South Boston Waterfront,20,NAN
163,Boston,Scali Cafe,42.34,-71.03,4.2,South Boston Waterfront,20,NAN
164,Boston,Sorelle,42.34,-71.03,3.8,South Boston Waterfront,20,NAN
165,Boston,Sebastians Cafe,42.34,-71.03,4.2,South Boston Waterfront,20,1
166,Boston,Cafe Arpeggio,42.34,-71.03,4.4,South Boston Waterfront,20,NAN
167,Boston,Grassroots Cafe,42.34,-71.03,4.6,South Boston Waterfront,20,NAN
168,Boston,Broadway’s Pastry & Coffee Shop,42.34,-71.03,4.5,South Boston Waterfront,20,1
169,Boston,Metro Cafe,42.35,-71.05,3.6,Downtown,20,NAN
170,Boston,Parish Cafe,42.35,-71.05,4.4,Downtown,20,2
171,Boston,Milk Street Cafe,42.35,-71.05,4.4,Downtown,20,1
172,Boston,Catalyst Cafe,42.35,-71.05,3.8,Downtown,20,1
173,Boston,Cafe Polonia,42.35,-71.05,4.6,Downtown,20,2
174,Boston,Newsfeed Café,42.35,-71.05,4.2,Downtown,20,NAN
175,Boston,Dumpling Cafe,42.35,-71.05,3.9,Downtown,20,1
176,Boston,Blue State Coffee,42.35,-71.05,4.6,Downtown,20,NAN
177,Boston,Blue Glass Cafe,42.35,-71.05,4.3,Downtown,20,1
178,Boston,Parish Café,42.35,-71.05,4.3,Downtown,20,2
179,Boston,Al's State Street Cafe,42.35,-71.05,4.5,Downtown,20,1
180,Boston,Flour Bakery & Cafe,42.35,-71.05,4.6,Downtown,20,2
181,Boston,Cafe Madeleine,42.35,-71.05,4.7,Downtown,20,1
182,Boston,Capital One Café,42.35,-71.05,3,Downtown,20,NAN
183,Boston,Boston Cafe,42.35,-71.05,4,Downtown,20,NAN
184,Boston,Sip Cafe,42.35,-71.05,4.5,Downtown,20,2
185,Boston,Trio Cafe,42.35,-71.05,4,Downtown,20,NAN
186,Boston,Sidewalk Cafe South Boston,42.35,-71.05,4.5,Downtown,20,NAN
187,Boston,Render Coffee,42.35,-71.05,4.4,Downtown,20,1
188,Boston,The Kitchen Café,42.35,-71.05,5,Downtown,20,NAN
189,Boston,Metro Cafe,42.34,-71.06,3.6,South End,20,NAN
190,Boston,Parish Cafe,42.34,-71.06,4.4,South End,20,2
191,Boston,Trident Booksellers & Cafe,42.34,-71.06,4.5,South End,20,2
192,Boston,Milk Street Cafe,42.34,-71.06,4.4,South End,20,1
193,Boston,Newsfeed Café,42.34,-71.06,4.2,South End,20,NAN
194,Boston,Dumpling Cafe,42.34,-71.06,3.9,South End,20,1
195,Boston,Cafe Polonia,42.34,-71.06,4.6,South End,20,2
196,Boston,Blue State Coffee,42.34,-71.06,4.6,South End,20,NAN
197,Boston,Blue Glass Cafe,42.34,-71.06,4.3,South End,20,1
198,Boston,Parish Café,42.34,-71.06,4.3,South End,20,2
199,Boston,Al's State Street Cafe,42.34,-71.06,4.5,South End,20,1
200,Boston,Flour Bakery & Cafe,42.34,-71.06,4.6,South End,20,2
201,Boston,Cafe Madeleine,42.34,-71.06,4.7,South End,20,1
202,Boston,Capital One Café,42.34,-71.06,3,South End,20,NAN
203,Boston,Cafe 939,42.34,-71.06,4.4,South End,20,2
204,Boston,Boston Cafe,42.34,-71.06,4,South End,20,NAN
205,Boston,Render Coffee,42.34,-71.06,4.6,South End,20,1
206,Boston,Sip Cafe,42.34,-71.06,4.5,South End,20,2
207,Boston,Trio Cafe,42.34,-71.06,4,South End,20,NAN
208,Boston,Sidewalk Cafe South Boston,42.34,-71.06,4.5,South End,20,NAN
209,New York,Café Grumpy,40.75,-74,4.3,Hudson Yards,20,1
210,New York,Gregorys Coffee,40.75,-74,3.8,Hudson Yards,20,NAN
211,New York,Gregorys Coffee,40.75,-74,4.3,Hudson Yards,20,2
212,New York,Gregorys Coffee,40.75,-74,4.2,Hudson Yards,20,NAN
213,New York,Gregorys Coffee,40.75,-74,4.3,Hudson Yards,20,1
214,New York,Gregorys Coffee,40.75,-74,4.1,Hudson Yards,20,NAN
215,New York,Le Cafe Coffee,40.75,-74,4.5,Hudson Yards,20,NAN
216,New York,Cafe Wha?,40.75,-74,4.2,Hudson Yards,20,1
217,New York,Café Grumpy,40.75,-74,4.3,Hudson Yards,20,1
218,New York,Le Cafe Coffee,40.75,-74,4.3,Hudson Yards,20,NAN
219,New York,le cafe coffee,40.75,-74,5,Hudson Yards,20,NAN
220,New York,BXL Cafe,40.75,-74,4.3,Hudson Yards,20,2
221,New York,Café Grumpy - Grand Central Terminal,40.75,-74,4.4,Hudson Yards,20,1
222,New York,The Cornelia Street Cafe,40.75,-74,4.2,Hudson Yards,20,2
223,New York,Hard Rock Cafe,40.75,-74,4.2,Hudson Yards,20,2
224,New York,Cafe Mocha,40.75,-74,4.3,Hudson Yards,20,1
225,New York,GiGi Café,40.75,-74,3.8,Hudson Yards,20,1
226,New York,Cafe Standard,40.75,-74,4.5,Hudson Yards,20,NAN
227,New York,Jerusalem Cafe,40.75,-74,3.8,Hudson Yards,20,2
228,New York,Cafe M Studio,40.75,-74,4.5,Hudson Yards,20,NAN
229,New York,Aubergine Cafe,40.74,-73.94,4.4,Long Island City,20,1
230,New York,Karu Café,40.74,-73.94,4.7,Long Island City,20,NAN
231,New York,Lilia Caffé,40.74,-73.94,4,Long Island City,20,NAN
232,New York,Karu Café,40.74,-73.94,4.8,Long Island City,20,NAN
233,New York,Cafe Triskell,40.74,-73.94,4.7,Long Island City,20,2
234,New York,Oxford Cafe,40.74,-73.94,3.8,Long Island City,20,1
235,New York,Toby's Estate LIC Cafe & Courtyard,40.74,-73.94,4.6,Long Island City,20,1
236,New York,Cafe Olympia 55,40.74,-73.94,4,Long Island City,20,NAN
237,New York,Cafe Colette,40.74,-73.94,4.3,Long Island City,20,2
238,New York,Bricktown Bagels & Cafe,40.74,-73.94,4.3,Long Island City,20,1
239,New York,Arepas Cafe,40.74,-73.94,4.5,Long Island City,20,2
240,New York,Fresco Deli Cafe,40.74,-73.94,4.1,Long Island City,20,1
241,New York,Rosa's Cafe,40.74,-73.94,4.1,Long Island City,20,NAN
242,New York,Layaly Cafe,40.74,-73.94,4.4,Long Island City,20,NAN
243,New York,Tost Cafe,40.74,-73.94,3.5,Long Island City,20,1
244,New York,Café Grumpy - Greenpoint,40.74,-73.94,4.3,Long Island City,20,1
245,New York,LIC Corner Cafe,40.74,-73.94,4.5,Long Island City,20,NAN
246,New York,The Mill Coffee House Long Island City,40.74,-73.94,4.5,Long Island City,20,NAN
247,New York,Toby's Estate Coffee,40.74,-73.94,4.4,Long Island City,20,1
248,New York,Birch Coffee,40.74,-73.94,4.4,Long Island City,20,1
249,New York,The Brooklyn Cat Cafe,40.7,-73.98,4.4,Brooklyn Tech Triangle,20,NAN
250,New York,Caffe Vita,40.7,-73.98,4.7,Brooklyn Tech Triangle,20,NAN
251,New York,Cornerstone Cafe,40.7,-73.98,4.2,Brooklyn Tech Triangle,20,1
252,New York,Cafe Clementine,40.7,-73.98,4.4,Brooklyn Tech Triangle,20,1
253,New York,Pause Cafe,40.7,-73.98,4.6,Brooklyn Tech Triangle,20,NAN
254,New York,Cafe Patoro,40.7,-73.98,4.7,Brooklyn Tech Triangle,20,NAN
255,New York,The Civil Service Café,40.7,-73.98,3.9,Brooklyn Tech Triangle,20,NAN
256,New York,Gregorys Coffee,40.7,-73.98,4.2,Brooklyn Tech Triangle,20,NAN
257,New York,Gregorys Coffee,40.7,-73.98,4.4,Brooklyn Tech Triangle,20,NAN
258,New York,Fiat Café,40.7,-73.98,4.4,Brooklyn Tech Triangle,20,2
259,New York,Iris Cafe,40.7,-73.98,4.4,Brooklyn Tech Triangle,20,1
260,New York,CounterCulture Coffee Cafe,40.7,-73.98,4,Brooklyn Tech Triangle,20,NAN
261,New York,Veggies Natural Juice Bar & Cafe,40.7,-73.98,4.1,Brooklyn Tech Triangle,20,NAN
262,New York,Avenue Cafe,40.7,-73.98,4.8,Brooklyn Tech Triangle,20,NAN
263,New York,Café Habana,40.7,-73.98,4.3,Brooklyn Tech Triangle,20,2
264,New York,Blank Cafe,40.7,-73.98,4.5,Brooklyn Tech Triangle,20,NAN
265,New York,FEED Shop & Cafe,40.7,-73.98,4.3,Brooklyn Tech Triangle,20,1
266,New York,Cafe Select,40.7,-73.98,4.1,Brooklyn Tech Triangle,20,2
267,New York,Chau Down Cafe,40.7,-73.98,3.6,Brooklyn Tech Triangle,20,NAN
268,New York,Cafe Bari,40.7,-73.98,4.7,Brooklyn Tech Triangle,20,NAN
269,New York,The Brooklyn Cat Cafe,40.7,-74.01,4.4,Financial District,20,NAN
270,New York,Caffe Vita,40.7,-74.01,4.7,Financial District,20,NAN
271,New York,Cornerstone Cafe,40.7,-74.01,4.2,Financial District,20,1
272,New York,Cafe Clementine,40.7,-74.01,4.4,Financial District,20,1
273,New York,Pause Cafe,40.7,-74.01,4.6,Financial District,20,NAN
274,New York,Cafe Patoro,40.7,-74.01,4.7,Financial District,20,NAN
275,New York,Café Habana,40.7,-74.01,4.3,Financial District,20,2
276,New York,Gregorys Coffee,40.7,-74.01,4.2,Financial District,20,NAN
277,New York,Gregorys Coffee,40.7,-74.01,4.4,Financial District,20,NAN
278,New York,Fiat Café,40.7,-74.01,4.4,Financial District,20,2
279,New York,Iris Cafe,40.7,-74.01,4.4,Financial District,20,1
280,New York,CounterCulture Coffee Cafe,40.7,-74.01,4,Financial District,20,NAN
281,New York,Black Fox Coffee,40.7,-74.01,4.5,Financial District,20,NAN
282,New York,Cafe 11,40.7,-74.01,4.6,Financial District,20,1
283,New York,Cafe Petisco,40.7,-74.01,4.4,Financial District,20,2
284,New York,FEED Shop & Cafe,40.7,-74.01,4.3,Financial District,20,1
285,New York,Renaissance Java Cafe,40.7,-74.01,3.9,Financial District,20,NAN
286,New York,CC's Cafe,40.7,-74.01,4.6,Financial District,20,1
287,New York,Caffe Roma,40.7,-74.01,3.8,Financial District,20,2
288,New York,Chau Down Cafe,40.7,-74.01,3.6,Financial District,20,NAN
289,Chicago,Kingsbury Street Cafe,41.91,-87.64,4.5,Lincoln Yards,20,NAN
290,Chicago,Cafe Brauer,41.91,-87.64,4.2,Lincoln Yards,20,NAN
291,Chicago,3 Arts Club Cafe,41.91,-87.64,4.6,Lincoln Yards,20,2
292,Chicago,Caffe Umbria,41.91,-87.64,4.6,Lincoln Yards,20,1
293,Chicago,Café Integral at Freehand Chicago,41.91,-87.64,4.2,Lincoln Yards,20,1
294,Chicago,Coco Pazzo Cafe,41.91,-87.64,4.1,Lincoln Yards,20,2
295,Chicago,Cafe Spiaggia,41.91,-87.64,4.3,Lincoln Yards,20,3
296,Chicago,Bourgeois Pig Cafe,41.91,-87.64,4.1,Lincoln Yards,20,1
297,Chicago,Floriole Cafe & Bakery,41.91,-87.64,4.6,Lincoln Yards,20,1
298,Chicago,North & Clark Cafe,41.91,-87.64,4.4,Lincoln Yards,20,NAN
299,Chicago,Windy City Cafe,41.91,-87.64,4.4,Lincoln Yards,20,2
300,Chicago,King Cafe Gourmet & Go,41.91,-87.64,3.8,Lincoln Yards,20,1
301,Chicago,Eva's Cafe,41.91,-87.64,4.6,Lincoln Yards,20,NAN
302,Chicago,Capital One Cafe,41.91,-87.64,4,Lincoln Yards,20,NAN
303,Chicago,Colectivo Coffee - Lincoln Park,41.91,-87.64,4.5,Lincoln Yards,20,1
304,Chicago,Cyrano's Cafe & Wine Bar,41.91,-87.64,3.3,Lincoln Yards,20,2
305,Chicago,Harry's Cafe,41.91,-87.64,5,Lincoln Yards,20,NAN
306,Chicago,La Colombe Coffee Roasters,41.91,-87.64,4.6,Lincoln Yards,20,1
